Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA,Placing
173,Michigan NCAA,34,19,15,0.559,14.26,11.02,11,9,10,5,5,7,2470,2360,67.5,107.7,0.294,0.321,0.554,54.1,52.6,7,8.6,0.521,15.1,31,0.219,102.9,0.256,0.348,0.527,45.9,42.8,8.1,8.3,0.497,13.1,24,0.188,16
174,Michigan State NCAA,36,23,13,0.639,13.18,9.96,11,9,12,3,5,6,2601,2485,67.9,106.4,0.299,0.337,0.553,53,60.2,8.4,13.6,0.52,16.3,30.7,0.224,101.7,0.283,0.376,0.512,47,51.4,9.3,8.9,0.481,13.3,27.1,0.201,32
185,Montana State NCAA,35,27,8,0.771,-0.26,-5.54,16,4,13,1,9,6,2679,2425,69.5,108.9,0.384,0.373,0.58,53.1,50.1,7.4,10.1,0.541,16.3,27.3,0.289,98.6,0.349,0.353,0.529,46.9,40,9.2,8,0.486,16.4,22.8,0.262,64
189,Murray State NCAA,34,31,3,0.912,9.87,-3.07,18,0,15,0,11,1,2690,2150,68.3,115.5,0.325,0.377,0.567,55.5,51.2,11.4,9.5,0.542,14.1,35.8,0.225,92.3,0.264,0.405,0.5,44.5,44.5,7.9,10.5,0.473,18,25,0.179,32
197,New Mexico State NCAA,34,27,7,0.794,7.11,1.24,13,4,13,2,9,3,2464,2197,68.3,105.7,0.341,0.424,0.554,55.1,53.5,7.3,12.2,0.524,17.7,33,0.239,94.2,0.276,0.427,0.492,44.9,49.7,10,6.4,0.453,15.4,25,0.206,32
202,Norfolk State NCAA,31,24,7,0.774,-3.91,-9.3,12,2,11,0,7,6,2302,1997,70.7,105,0.371,0.356,0.554,53.4,47.4,9.4,11.2,0.522,17.3,30.7,0.259,91.1,0.331,0.452,0.478,46.6,55.2,8.2,8.9,0.446,16.9,26.9,0.213,64
204,North Carolina NCAA,39,29,10,0.744,15.5,8.89,15,5,15,2,8,3,3038,2780,70.3,109.7,0.303,0.381,0.551,55.8,54.1,7.3,9.7,0.515,14.2,31.8,0.232,100.4,0.214,0.362,0.512,44.2,47.5,9.4,9.3,0.486,12.2,21.5,0.155,2
219,Notre Dame NCAA,35,24,11,0.686,11.87,7.01,15,5,14,1,7,5,2540,2349,65.9,108.6,0.267,0.423,0.571,50.2,53.8,7.8,4.8,0.543,14.1,22.4,0.201,100.4,0.219,0.352,0.511,49.8,45.3,8.9,9.3,0.488,13.3,24.8,0.152,32
222,Ohio State NCAA,32,20,12,0.625,14.17,9.08,12,8,13,3,5,6,2329,2166,65.1,110.9,0.334,0.395,0.578,52,48.8,6.9,12.8,0.543,15.1,29.3,0.253,103.2,0.291,0.36,0.511,48,47.8,9.4,7.6,0.476,13.3,28.7,0.213,32
240,Providence NCAA,33,27,6,0.818,13.08,7.75,14,3,16,1,7,2,2360,2184,65.9,106.4,0.37,0.38,0.54,52.2,54.1,7.5,9.7,0.5,14.7,30.3,0.269,98.5,0.27,0.361,0.494,47.8,46,8.7,10.6,0.463,13.5,27.4,0.188,16
241,Purdue NCAA,37,29,8,0.784,19.15,8.23,14,6,16,1,5,5,2936,2532,66.7,117.8,0.382,0.392,0.593,57.1,58.6,6.9,9.7,0.565,15,35.2,0.272,101.6,0.216,0.406,0.516,42.9,53.3,8.8,7.1,0.491,12.5,23.8,0.156,16
247,Richmond NCAA,37,24,13,0.649,7.07,4.48,10,8,11,4,7,5,2628,2532,67.4,104.8,0.31,0.417,0.542,47.6,57.4,11.2,6.3,0.511,13,22.4,0.223,100.9,0.234,0.361,0.531,52.4,49.4,7.9,9.3,0.505,16.6,27.5,0.17,32
250,Rutgers NCAA,32,18,14,0.563,8.78,6.81,12,8,14,3,4,9,2192,2129,65.5,102.9,0.262,0.316,0.525,51.4,58.8,10.6,11.7,0.499,15,29.6,0.184,99.9,0.286,0.397,0.519,48.6,52.5,8.7,7.9,0.486,15.6,26.9,0.207,68
256,Saint Mary's (CA) NCAA,34,26,8,0.765,14.82,6.58,12,3,16,0,6,4,2370,2061,65.5,106.5,0.24,0.363,0.556,53.4,51.6,10.6,6.6,0.528,15.2,27.8,0.182,92.6,0.249,0.283,0.505,46.6,37.2,9.2,8.5,0.475,17.4,22.1,0.18,32
257,Saint Peter's NCAA,34,22,12,0.647,2.96,-0.47,14,6,9,4,7,7,2277,2125,66.7,99.7,0.371,0.303,0.519,51.5,52.4,10.5,14.8,0.48,17.2,31.3,0.26,93,0.408,0.364,0.492,48.5,52.9,10.2,12.8,0.439,17.8,28.7,0.295,8
261,San Diego State NCAA,32,23,9,0.719,13.13,5.85,13,4,14,1,5,5,2093,1860,65.3,99,0.311,0.308,0.518,51.5,50.2,11.3,14.4,0.487,16.8,29.5,0.215,88,0.31,0.378,0.476,48.5,51.4,8.8,8,0.441,19.2,27.3,0.211,64
262,San Francisco NCAA,34,24,10,0.706,14.12,5.24,10,6,14,4,7,2,2630,2304,70.9,108.7,0.29,0.453,0.56,53.4,46.9,10.8,11.6,0.537,15.6,30.2,0.201,95.2,0.331,0.305,0.509,46.6,43.6,8.6,8.8,0.471,16.3,23.7,0.236,64
266,Seton Hall NCAA,32,21,11,0.656,12.75,8.52,11,8,13,3,6,5,2302,2125,68.7,104.3,0.312,0.359,0.521,51.8,40.8,10.2,13.8,0.481,14.9,32.6,0.235,96.3,0.27,0.34,0.496,48.2,48.3,9.2,10.8,0.455,15.9,29,0.209,64
273,South Dakota State NCAA,35,30,5,0.857,6.6,-3.77,18,0,14,0,10,3,3005,2561,71.7,119.3,0.333,0.354,0.627,52.7,49,8.5,6.9,0.6,13.8,24,0.253,101.7,0.208,0.411,0.534,47.3,44.5,6.8,6.7,0.509,14.6,23.2,0.154,64
278,Southern California NCAA,34,26,8,0.765,12.5,6.09,14,6,13,3,9,3,2461,2243,67.5,106.5,0.309,0.322,0.536,54.3,53.3,7.4,11.1,0.512,15.3,33.5,0.205,97,0.268,0.343,0.481,45.7,50.1,9.7,8.4,0.447,12.5,26.7,0.192,64
294,TCU NCAA,34,21,13,0.618,13.72,10.16,8,10,12,4,4,6,2328,2207,67.2,101.1,0.314,0.317,0.516,56,53.8,9.5,11.2,0.487,17.9,37.8,0.212,95.8,0.269,0.349,0.505,44,54.2,10.6,8.6,0.474,16.4,26.1,0.191,32
296,Tennessee NCAA,35,27,8,0.771,20.46,9.94,14,4,16,0,6,5,2571,2203,68.6,106.2,0.29,0.402,0.536,52.2,63,13.5,12.9,0.507,15.2,32.5,0.207,91,0.315,0.392,0.501,47.8,52.1,9.6,7.9,0.464,20.1,27.2,0.224,32
300,Texas NCAA,34,22,12,0.647,17.01,8.87,10,8,16,3,4,7,2339,2062,64.5,105.9,0.32,0.361,0.538,50.8,54.1,11.8,10.1,0.501,15.3,31.5,0.239,93.4,0.391,0.335,0.509,49.2,44.1,8.9,9.2,0.47,20,29.6,0.266,32
302,Texas A&M-Corpus Christi NCAA,35,23,12,0.657,-6.78,-9.1,7,7,9,4,7,6,2682,2454,72.3,105.5,0.364,0.313,0.537,53,56,11.7,5.6,0.495,16.5,34.6,0.269,96.6,0.393,0.434,0.532,47,55.3,8.9,10,0.484,20,27.8,0.296,68
303,Texas Southern NCAA,32,19,13,0.594,-3.3,-6.24,13,5,7,2,8,10,2209,2115,69.7,98.6,0.336,0.309,0.514,53.2,42.7,7.9,13.6,0.482,18.2,33,0.228,94.4,0.334,0.355,0.484,46.8,48.5,11.5,6.3,0.453,15.1,27.9,0.216,64
305,Texas Tech NCAA,37,27,10,0.73,20.08,8.65,12,6,18,0,3,7,2667,2244,67.3,106,0.351,0.341,0.556,54.6,52.2,11.8,12,0.526,17.2,33.2,0.245,89.2,0.319,0.454,0.493,45.4,53.6,9.9,7.3,0.458,20.4,25.9,0.22,16
313,UAB NCAA,35,27,8,0.771,10.9,-0.14,14,4,16,2,7,4,2811,2336,70.4,112.9,0.284,0.332,0.56,53.1,43.8,13.4,11.6,0.53,13.8,33.7,0.21,93.8,0.303,0.373,0.511,46.9,46.8,7.7,8.5,0.477,19.5,27.6,0.214,64
320,UCLA NCAA,35,27,8,0.771,19.3,8.36,15,5,14,1,8,4,2639,2256,66.5,111.4,0.294,0.312,0.539,52.5,50.3,10.3,9.6,0.505,11.3,31.4,0.218,95.3,0.283,0.381,0.51,47.5,50.2,6.6,7.5,0.476,17.2,25.3,0.205,16
333,Vermont NCAA,34,28,6,0.824,7.81,-5.7,17,1,16,0,10,4,2544,2065,65.1,114.4,0.265,0.43,0.594,54.7,55,7.8,7.2,0.57,13.2,24.3,0.197,92.9,0.228,0.376,0.5,45.3,43.8,7.4,8.8,0.475,15.4,18.6,0.158,64
334,Villanova NCAA,38,30,8,0.789,19.31,10.29,16,4,12,1,8,5,2726,2383,63.6,112.4,0.298,0.463,0.56,51.5,48.9,9.4,6.8,0.515,13.4,31.2,0.247,98.3,0.25,0.422,0.505,48.5,49.9,7.4,11.2,0.473,15.9,28.9,0.183,4
338,Virginia Tech NCAA,36,23,13,0.639,14.48,6.48,11,9,11,4,7,6,2549,2261,63.6,111,0.245,0.411,0.576,51.4,55.2,8.4,9.3,0.551,15,27.9,0.184,98.4,0.256,0.369,0.521,48.6,51,9.9,9.3,0.489,16.5,26.2,0.191,64
352,Wisconsin NCAA,33,25,8,0.758,13.13,9.16,15,5,12,4,9,2,2308,2177,67,104.4,0.324,0.36,0.518,50.1,44.8,7.9,7.8,0.477,11.4,26,0.241,98.5,0.272,0.336,0.516,49.9,46.9,7,8.8,0.489,15.2,24.4,0.186,32
354,Wright State NCAA,36,22,14,0.611,-1.94,-5.11,15,7,12,3,7,7,2729,2585,70,108.3,0.318,0.327,0.554,50.9,51.3,8.4,7.6,0.516,15.2,30.8,0.244,102.6,0.256,0.346,0.536,49.1,41.5,10.5,7.3,0.51,16.3,29.4,0.183,64
355,Wyoming NCAA,34,25,9,0.735,9.36,3.6,13,5,14,1,8,5,2466,2227,66.3,107.8,0.359,0.431,0.565,52,44.7,5.8,5.4,0.531,15,25.5,0.26,97.3,0.241,0.382,0.501,48,42.3,7.7,8.5,0.472,14.1,24.2,0.174,68
