Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
279,Southeastern Louisiana,32,15,17,.469,-11.31,-6.14,,10,8,,9,4,,6,10,,2209,2271,,66.9,102.3,.347,.383,.536,51.0,60.6,10.3,7.1,.498,17.7,31.8,.252
280,Southern,32,18,14,.563,-8.74,-6.09,,12,6,,11,2,,7,11,,2275,2198,,70.7,99.8,.357,.374,.532,48.9,54.5,12.8,9.8,.502,17.6,28.8,.241
281,Southern California,33,15,18,.455,9.36,9.54,,8,12,,9,6,,3,9,,2446,2452,,69.7,104.8,.336,.367,.546,48.6,59.1,10.6,14.2,.517,15.7,29.0,.233
282,Southern Illinois,32,19,13,.594,4.10,0.52,,11,9,,13,5,,5,6,,2325,2183,,65.4,109.3,.360,.436,.569,50.8,57.6,8.2,8.1,.529,14.8,26.3,.274
283,SIU Edwardsville,33,17,16,.515,-9.08,-7.54,,9,9,,12,2,,2,13,,2360,2314,,67.7,105.6,.321,.366,.521,50.5,45.0,10.1,12.0,.484,13.5,31.1,.233
284,Southern Indiana,32,8,24,.250,-13.63,-5.59,,5,13,,5,10,,3,13,,2195,2335,,69.7,98.1,.375,.367,.514,49.7,49.1,9.1,8.4,.466,16.5,27.6,.279
285,Southern Methodist,33,20,13,.606,10.22,2.56,,11,7,,14,3,,5,8,,2535,2271,,68.6,111.5,.290,.352,.533,53.4,55.4,12.2,13.0,.507,13.5,38.5,.199
286,Southern Mississippi,32,16,16,.500,-5.93,-2.93,,9,9,,11,3,,5,9,,2236,2273,,69.5,100.6,.380,.336,.519,50.1,48.5,10.3,12.6,.479,16.0,29.4,.266
287,Southern Utah,31,10,21,.323,-5.72,-1.17,,5,15,,6,8,,3,13,,2326,2406,,71.4,104.6,.362,.349,.533,47.5,45.7,9.1,6.7,.493,14.6,28.5,.264
288,St. Bonaventure,33,20,13,.606,6.77,1.95,,9,9,,11,4,,5,6,,2424,2265,,66.0,110.0,.322,.367,.562,50.6,48.3,9.9,12.0,.523,14.2,29.7,.249
289,St. John's (NY),33,20,13,.606,16.49,9.58,,11,9,,13,5,,5,6,,2602,2374,,69.6,113.3,.273,.325,.538,53.6,53.4,10.1,14.7,.509,13.0,38.6,.199
290,St. Thomas,33,20,13,.606,-0.92,-5.72,,9,7,,12,2,,6,9,,2402,2140,,63.9,113.4,.289,.454,.579,50.0,52.5,9.6,6.7,.553,12.7,24.9,.211
291,Stanford,32,14,18,.438,7.35,7.48,,8,12,,10,6,,3,8,,2443,2447,,70.9,106.1,.286,.410,.570,49.0,58.4,7.6,7.9,.543,16.1,23.2,.208
292,Stephen F. Austin,33,18,15,.545,-0.95,-1.76,,10,10,,10,5,,5,8,,2463,2353,,71.5,102.4,.421,.321,.543,52.2,49.7,12.3,8.3,.503,18.9,34.4,.297
293,Stetson NCAA,35,22,13,.629,-5.09,-3.24,,11,5,,14,2,,6,10,,2687,2566,,67.5,113.4,.302,.417,.572,50.0,48.9,7.9,8.0,.539,13.6,29.1,.231
294,Stonehill,31,4,27,.129,-20.10,-6.10,,2,14,,4,8,,0,19,,1967,2360,,69.2,91.4,.232,.466,.495,45.7,51.3,9.2,7.6,.470,17.5,22.9,.160
295,Stony Brook,35,20,15,.571,-2.59,-2.62,,10,8,,13,3,,4,11,,2573,2531,,67.5,106.6,.292,.369,.538,49.6,46.0,8.7,9.1,.504,13.0,26.9,.216
296,Syracuse,32,20,12,.625,8.53,9.40,,11,9,,14,2,,4,7,,2442,2420,,72.1,105.9,.331,.340,.551,46.9,50.1,12.6,10.5,.518,14.1,24.7,.239
297,Tarleton State,35,25,10,.714,1.40,-0.97,,16,4,,13,4,,10,5,,2593,2402,,68.4,108.0,.308,.298,.541,49.4,50.7,12.8,10.0,.503,14.1,31.2,.233
298,TCU NCAA,34,21,13,.618,14.62,7.32,,9,9,,12,4,,6,5,,2687,2439,,70.6,110.3,.350,.303,.551,53.4,59.6,12.5,10.2,.515,15.2,35.9,.256
299,Temple,36,16,20,.444,-1.26,1.68,,5,13,,5,9,,5,7,,2551,2624,,68.0,102.1,.320,.421,.500,48.2,45.9,10.6,8.2,.463,12.3,28.4,.227
300,Tennessee NCAA,36,27,9,.750,21.81,10.42,,14,4,,14,2,,8,3,,2836,2426,,70.3,112.1,.337,.412,.550,52.4,61.3,11.1,13.5,.511,12.5,32.2,.253
301,Tennessee State,33,18,15,.545,-9.64,-7.64,,10,8,,11,3,,5,10,,2400,2343,,69.8,103.8,.365,.355,.544,49.4,47.6,9.5,9.3,.500,16.5,29.0,.276
302,Tennessee Tech,31,10,21,.323,-15.04,-6.29,,5,13,,7,8,,3,13,,2089,2289,,67.6,98.9,.309,.359,.538,46.2,50.0,7.4,7.6,.508,16.0,18.8,.219
303,Tennessee-Martin,32,21,11,.656,-5.57,-7.25,,14,4,,12,2,,9,7,,2609,2455,,74.5,108.6,.326,.381,.552,51.9,45.7,8.3,6.9,.512,13.4,27.1,.251
304,Texas NCAA,34,21,13,.618,15.91,9.41,,9,9,,14,4,,4,6,,2563,2342,,68.2,110.1,.302,.348,.564,50.4,54.9,10.5,11.4,.530,14.7,29.9,.228
305,Texas A&M NCAA,36,21,15,.583,13.35,9.32,,9,9,,10,5,,6,6,,2736,2591,,67.8,111.4,.386,.377,.502,56.0,44.5,10.2,9.4,.457,11.3,42.3,.273
306,Texas A&M-Corpus Christi,33,21,12,.636,-4.45,-7.24,,14,4,,13,2,,8,7,,2480,2200,,71.2,105.2,.361,.301,.517,54.5,54.6,12.3,8.7,.479,14.3,34.6,.254
307,Texas Southern,33,16,17,.485,-9.09,-7.03,,12,6,,7,4,,6,11,,2316,2346,,69.5,100.5,.302,.387,.512,49.2,46.8,9.9,10.4,.476,15.5,30.2,.218
308,Texas State,35,17,18,.486,-3.71,-0.74,,7,11,,9,4,,5,11,,2445,2452,,68.4,101.4,.376,.245,.522,51.3,46.8,10.7,9.3,.484,16.7,31.9,.262
309,Texas Tech NCAA,34,23,11,.676,14.96,9.28,,11,7,,15,2,,4,6,,2561,2368,,67.2,111.7,.342,.414,.567,50.9,57.1,8.9,7.0,.526,14.3,30.3,.267
310,Texas-Rio Grande Valley,31,6,25,.194,-13.39,-0.90,,2,18,,5,9,,1,14,,2181,2473,,73.5,95.0,.404,.304,.508,45.9,53.1,10.9,7.3,.463,16.8,24.9,.285
311,The Citadel,32,11,21,.344,-6.53,-2.91,,3,15,,7,7,,2,13,,2260,2289,,67.0,105.0,.338,.337,.546,51.4,43.8,8.3,7.4,.515,15.7,28.5,.238
312,Toledo,32,20,12,.625,1.78,-2.09,,14,4,,12,3,,8,5,,2560,2436,,70.2,113.0,.353,.286,.569,50.1,46.7,10.3,5.3,.531,13.2,29.3,.266
313,Towson,34,20,14,.588,0.19,-2.27,,11,7,,12,2,,6,6,,2296,2164,,63.2,105.6,.347,.341,.509,56.0,46.6,9.7,12.3,.479,15.5,39.9,.230
314,Troy,32,20,12,.625,1.24,-3.17,,13,5,,15,2,,5,9,,2546,2261,,71.2,110.0,.386,.404,.552,52.9,51.0,14.3,8.7,.511,16.0,36.0,.283
315,Tulane,31,14,17,.452,3.65,2.68,,5,13,,11,6,,2,8,,2540,2481,,73.4,109.8,.452,.363,.581,45.7,51.4,10.5,11.7,.541,13.7,20.6,.331
316,Tulsa,31,16,15,.516,-1.20,-1.00,,7,11,,14,4,,2,9,,2325,2290,,71.4,103.8,.404,.412,.549,48.1,50.3,10.9,9.1,.506,16.0,24.8,.297
317,UAB NCAA,35,23,12,.657,5.14,3.73,,12,6,,12,5,,7,5,,2711,2627,,68.7,111.2,.400,.316,.546,52.2,50.5,9.7,11.8,.501,14.1,35.5,.298
318,UC Davis,33,20,13,.606,-1.33,-2.85,,14,6,,10,6,,8,6,,2351,2246,,68.1,103.8,.387,.378,.549,49.7,51.4,11.4,9.7,.506,17.2,29.6,.289
319,UC Irvine,34,24,10,.706,6.89,-0.93,,17,3,,13,0,,8,9,,2639,2321,,69.7,110.5,.332,.278,.560,53.5,54.7,9.2,8.2,.524,14.3,31.7,.250
320,UC Riverside,34,16,18,.471,-4.26,-1.23,,10,10,,10,5,,4,12,,2404,2448,,67.7,104.0,.285,.426,.499,51.0,53.0,8.3,3.8,.464,11.9,31.1,.204
321,UC San Diego,33,21,12,.636,2.04,-2.80,,15,5,,14,2,,7,8,,2530,2290,,66.9,113.3,.323,.423,.567,50.5,48.5,9.2,7.5,.533,12.6,28.1,.243
322,UC Santa Barbara,31,16,15,.516,-3.19,-3.01,,9,11,,9,7,,6,7,,2337,2280,,69.0,108.4,.402,.308,.583,52.1,50.5,7.1,8.0,.546,16.8,26.4,.296
323,UCF,33,17,16,.515,11.92,8.17,,7,11,,11,8,,3,7,,2366,2242,,69.3,103.0,.372,.359,.517,52.2,45.9,12.5,15.2,.478,15.3,32.9,.261
324,UCLA,33,16,17,.485,7.50,7.84,,10,10,,9,7,,5,6,,2177,2160,,64.8,101.9,.354,.303,.512,50.9,48.3,9.0,10.9,.469,14.4,30.4,.258
325,UNC Asheville,34,22,12,.647,-1.92,-2.99,,12,4,,12,2,,5,7,,2682,2485,,70.3,111.0,.410,.389,.576,49.5,58.9,8.4,11.2,.536,14.7,28.1,.304
326,UNC Greensboro,32,21,11,.656,-0.27,-2.90,,12,6,,11,3,,7,7,,2422,2233,,66.9,112.2,.270,.432,.572,51.1,54.7,10.3,7.9,.546,14.1,29.8,.197
327,UNC Wilmington,31,21,10,.677,1.21,-2.90,,12,6,,10,2,,10,6,,2461,2202,,66.6,117.3,.336,.396,.567,49.8,43.9,9.6,6.7,.530,10.9,30.4,.255
328,UT Arlington,34,20,14,.588,2.38,0.69,,13,7,,12,3,,5,10,,2614,2492,,71.9,106.5,.377,.435,.560,52.7,60.9,9.8,10.2,.521,18.4,34.0,.277
329,Utah,37,22,15,.595,15.00,9.41,,9,11,,17,2,,2,9,,2915,2708,,70.9,110.0,.271,.404,.559,51.7,60.4,8.2,10.3,.543,14.1,27.6,.176
330,Utah State NCAA,35,28,7,.800,11.56,5.29,,14,4,,14,1,,8,4,,2788,2497,,69.3,113.4,.385,.333,.579,52.0,57.3,9.7,11.3,.546,13.8,28.6,.277
331,Utah Tech,31,11,20,.355,-8.08,-1.18,,7,13,,6,7,,5,13,,2194,2389,,71.9,97.7,.405,.346,.534,48.7,52.0,9.1,11.6,.506,19.4,28.4,.262
332,Utah Valley,32,16,16,.500,-1.33,-0.03,,11,9,,10,4,,5,10,,2199,2195,,69.2,98.6,.354,.292,.509,50.7,59.6,10.0,11.9,.474,15.4,28.5,.239
333,UTEP,34,18,16,.529,-1.49,-1.30,,7,9,,13,5,,2,9,,2470,2348,,71.4,101.0,.421,.317,.535,49.0,51.1,15.9,8.4,.497,17.8,30.2,.290
334,UTSA,32,11,21,.344,-5.26,-0.71,,5,13,,7,9,,4,11,,2483,2591,,71.3,107.2,.344,.452,.523,51.4,53.0,7.0,10.5,.487,13.2,32.4,.244
335,Valparaiso,32,7,25,.219,-8.25,1.17,,3,17,,6,11,,1,13,,2163,2416,,69.3,97.6,.240,.368,.495,46.3,48.2,8.9,9.3,.466,13.9,26.0,.172
336,Vanderbilt,32,9,23,.281,0.19,8.16,,4,14,,8,10,,1,9,,2173,2428,,67.8,99.7,.352,.393,.496,48.1,40.1,9.0,8.1,.454,13.2,28.2,.249
337,Vermont NCAA,35,28,7,.800,2.78,-3.31,,15,1,,16,1,,10,4,,2506,2205,,65.4,109.1,.286,.443,.557,50.6,53.1,9.0,10.7,.530,12.5,23.1,.205
338,Villanova,34,18,16,.529,14.44,9.82,,10,10,,10,6,,4,8,,2388,2231,,64.3,106.9,.268,.480,.545,50.6,52.9,8.8,7.7,.506,13.0,24.9,.216
339,Virginia NCAA,34,23,11,.676,10.45,7.31,,13,7,,15,2,,5,6,,2140,2033,,61.2,101.7,.253,.326,.506,48.4,63.0,11.4,15.5,.486,11.5,25.6,.161
340,Virginia Commonwealth,38,24,14,.632,8.70,4.41,,11,7,,13,6,,7,5,,2697,2534,,66.2,106.5,.350,.442,.562,51.5,56.8,9.7,12.8,.518,16.1,27.8,.273
341,VMI,32,4,28,.125,-20.65,-2.44,,1,17,,4,10,,0,15,,2204,2644,,74.6,92.0,.267,.348,.505,48.3,41.0,7.5,6.5,.477,18.9,25.2,.185
342,Virginia Tech,34,19,15,.559,11.91,7.97,,10,10,,15,2,,2,10,,2547,2413,,68.1,110.0,.330,.416,.578,50.4,58.0,7.8,6.5,.538,14.6,25.0,.262
343,Wagner NCAA,33,17,16,.515,-10.64,-8.58,,7,9,,7,5,,9,10,,2103,2083,,63.0,100.0,.259,.380,.489,50.4,55.5,9.3,7.2,.458,13.2,30.0,.182
344,Wake Forest,35,21,14,.600,14.94,7.52,,11,9,,17,2,,2,9,,2733,2473,,68.8,112.6,.320,.374,.581,51.2,44.3,8.5,11.0,.542,13.8,26.4,.254
345,Washington,32,17,15,.531,11.85,8.38,,9,11,,11,6,,5,6,,2579,2468,,72.0,109.8,.321,.368,.565,49.9,51.8,7.8,9.0,.535,14.1,27.1,.232
346,Washington State NCAA,35,25,10,.714,14.02,7.19,,14,6,,15,2,,6,4,,2574,2335,,66.4,109.9,.316,.322,.547,54.3,45.9,7.7,12.6,.518,14.0,32.9,.222
347,Weber State,32,20,12,.625,-0.49,-4.15,,11,7,,12,2,,7,7,,2414,2161,,66.8,112.0,.354,.401,.575,49.9,46.3,10.3,4.8,.539,13.1,23.8,.265
348,West Virginia,32,9,23,.281,3.73,10.76,,4,14,,9,9,,0,9,,2234,2459,,68.7,100.8,.371,.374,.532,48.5,54.4,6.3,10.2,.495,16.2,26.7,.262
349,Western Carolina,32,22,10,.688,1.96,-3.35,,11,7,,12,3,,10,6,,2459,2198,,68.6,110.7,.282,.363,.552,53.4,40.7,6.3,7.8,.526,12.9,29.5,.201
350,Western Illinois,33,21,12,.636,-8.75,-7.37,,13,5,,10,5,,10,6,,2272,2167,,66.9,102.1,.357,.316,.502,55.5,51.0,7.8,13.3,.477,16.1,38.3,.220
351,Western Kentucky NCAA,34,22,12,.647,1.19,-2.91,,8,8,,12,2,,6,7,,2728,2531,,76.0,105.6,.327,.321,.552,52.2,45.6,10.1,8.7,.520,16.0,29.0,.235
352,Western Michigan,32,12,20,.375,-9.30,-3.79,,9,9,,7,7,,3,12,,2281,2396,,68.6,102.7,.311,.391,.520,51.8,50.5,7.6,7.3,.499,16.3,33.8,.195
353,Wichita State,34,15,19,.441,2.02,3.20,,5,13,,10,5,,2,10,,2475,2484,,69.5,104.0,.264,.316,.526,52.6,44.2,9.0,10.8,.500,15.1,32.2,.184
354,William & Mary,33,10,23,.303,-11.33,-5.55,,4,14,,7,7,,2,13,,2305,2380,,66.7,104.4,.325,.480,.523,49.3,51.7,7.1,4.7,.490,13.9,28.1,.228
355,Winthrop,32,17,15,.531,-1.97,-3.42,,8,8,,11,5,,6,9,,2475,2287,,68.3,110.7,.486,.395,.570,51.0,46.5,9.0,8.3,.531,16.1,31.8,.341
356,Wisconsin NCAA,36,22,14,.611,16.01,11.35,,11,9,,14,3,,3,9,,2688,2520,,66.0,112.0,.338,.355,.560,52.4,48.1,9.3,4.6,.522,13.0,30.2,.255
357,Wofford,32,17,15,.531,-3.87,-1.60,,10,8,,11,2,,6,9,,2384,2362,,67.5,108.7,.279,.447,.552,53.0,56.5,6.5,8.0,.539,14.7,30.2,.173
358,Wright State,32,18,14,.563,-0.22,-3.62,,13,7,,9,7,,7,6,,2767,2599,,72.6,117.7,.328,.292,.615,51.6,51.2,8.5,7.2,.586,14.4,28.6,.248
359,Wyoming,32,15,17,.469,0.54,4.57,,8,10,,9,5,,3,10,,2331,2383,,67.9,106.4,.391,.369,.560,50.8,47.3,7.5,7.0,.519,16.4,29.1,.289
360,Xavier,34,16,18,.471,12.23,11.03,,9,11,,11,7,,3,9,,2579,2538,,71.5,106.1,.318,.320,.530,51.5,59.7,9.7,8.4,.491,14.0,31.9,.237
361,Yale NCAA,33,23,10,.697,4.63,0.41,,11,3,,9,2,,9,6,,2465,2226,,66.1,111.2,.277,.349,.553,52.8,53.9,9.2,9.6,.528,12.4,28.9,.196
362,Youngstown State,32,22,10,.688,0.97,-5.11,,14,6,,14,3,,8,7,,2598,2269,,70.8,113.8,.285,.422,.554,53.8,52.6,8.7,12.5,.519,13.1,35.0,.220
