Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
44,Central Arkansas,32,9,23,.281,-15.70,-5.64,,5,11,,5,10,,4,13,,2309,2502,,70.7,101.7,.288,.380,.517,49.4,53.5,9.9,9.4,.481,15.4,29.7,.213
45,Central Connecticut State,31,20,11,.645,-8.15,-10.15,,13,3,,11,4,,9,7,,2237,2061,,68.0,105.2,.321,.359,.540,51.4,54.8,10.9,12.8,.508,14.4,28.5,.227
46,Central Michigan,32,18,14,.563,-8.07,-3.59,,12,6,,10,3,,7,9,,2127,2242,,66.3,97.6,.280,.351,.499,49.1,46.1,8.8,10.5,.473,15.3,28.8,.185
47,Charleston Southern,30,10,20,.333,-12.03,-1.59,,6,10,,7,7,,3,12,,2028,2210,,68.3,99.0,.307,.364,.512,49.6,42.8,5.6,7.3,.474,15.6,27.9,.226
48,Charlotte,31,19,12,.613,4.09,2.42,,13,5,,13,2,,5,7,,2131,2034,,63.1,108.1,.348,.384,.552,49.7,54.4,8.5,9.7,.513,13.5,26.7,.262
49,Chattanooga,33,21,12,.636,-0.21,-3.85,,12,6,,12,4,,8,7,,2581,2362,,68.5,112.9,.314,.507,.586,51.6,50.1,9.1,10.3,.557,15.2,28.2,.234
50,Chicago State,32,13,19,.406,-9.34,-3.03,,,,,6,5,,5,12,,2224,2258,,67.6,102.4,.372,.353,.520,49.2,45.9,12.8,8.8,.480,16.5,34.2,.265
51,Cincinnati,37,22,15,.595,15.06,8.49,,7,11,,16,5,,4,8,,2765,2522,,68.4,107.8,.276,.368,.529,55.1,52.8,9.4,11.7,.503,14.6,36.3,.190
52,Clemson NCAA,36,24,12,.667,16.20,10.04,,11,9,,12,4,,6,6,,2785,2563,,67.8,113.4,.307,.399,.575,51.6,53.8,6.7,10.9,.539,13.0,27.2,.240
53,Cleveland State,36,21,15,.583,-3.47,-4.44,,11,9,,14,3,,6,10,,2717,2622,,68.6,109.2,.317,.310,.526,49.0,47.5,11.9,11.1,.499,12.5,33.7,.211
54,Coastal Carolina,31,9,22,.290,-10.47,-2.88,,5,13,,7,12,,1,9,,2280,2434,,71.5,102.0,.328,.333,.525,51.6,47.3,8.0,8.8,.498,16.2,30.9,.218
55,Colgate NCAA,35,25,10,.714,-0.31,-5.55,,16,2,,13,3,,10,5,,2498,2242,,66.4,107.5,.273,.383,.559,51.9,56.6,9.8,10.1,.538,14.1,25.3,.186
56,College of Charleston NCAA,35,27,8,.771,4.09,-2.38,,15,3,,13,2,,10,2,,2832,2575,,70.4,114.6,.275,.471,.550,53.1,53.3,8.9,8.1,.522,11.9,33.6,.198
