Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA,Seeding,Placing
266,Seton Hall NCAA,32,21,11,0.656,12.75,8.52,11,8,13,3,6,5,2302,2125,68.7,104.3,0.312,0.359,0.521,51.8,40.8,10.2,13.8,0.481,14.9,32.6,0.235,96.3,0.27,0.34,0.496,48.2,48.3,9.2,10.8,0.455,15.9,29,0.209,32,64
273,South Dakota State NCAA,35,30,5,0.857,6.6,-3.77,18,0,14,0,10,3,3005,2561,71.7,119.3,0.333,0.354,0.627,52.7,49,8.5,6.9,0.6,13.8,24,0.253,101.7,0.208,0.411,0.534,47.3,44.5,6.8,6.7,0.509,14.6,23.2,0.154,52,64
278,Southern California NCAA,34,26,8,0.765,12.5,6.09,14,6,13,3,9,3,2461,2243,67.5,106.5,0.309,0.322,0.536,54.3,53.3,7.4,11.1,0.512,15.3,33.5,0.205,97,0.268,0.343,0.481,45.7,50.1,9.7,8.4,0.447,12.5,26.7,0.192,25,64
294,TCU NCAA,34,21,13,0.618,13.72,10.16,8,10,12,4,4,6,2328,2207,67.2,101.1,0.314,0.317,0.516,56,53.8,9.5,11.2,0.487,17.9,37.8,0.212,95.8,0.269,0.349,0.505,44,54.2,10.6,8.6,0.474,16.4,26.1,0.191,34,32
296,Tennessee NCAA,35,27,8,0.771,20.46,9.94,14,4,16,0,6,5,2571,2203,68.6,106.2,0.29,0.402,0.536,52.2,63,13.5,12.9,0.507,15.2,32.5,0.207,91,0.315,0.392,0.501,47.8,52.1,9.6,7.9,0.464,20.1,27.2,0.224,10,32
300,Texas NCAA,34,22,12,0.647,17.01,8.87,10,8,16,3,4,7,2339,2062,64.5,105.9,0.32,0.361,0.538,50.8,54.1,11.8,10.1,0.501,15.3,31.5,0.239,93.4,0.391,0.335,0.509,49.2,44.1,8.9,9.2,0.47,20,29.6,0.266,23,32
302,Texas A&M-Corpus Christi NCAA,35,23,12,0.657,-6.78,-9.1,7,7,9,4,7,6,2682,2454,72.3,105.5,0.364,0.313,0.537,53,56,11.7,5.6,0.495,16.5,34.6,0.269,96.6,0.393,0.434,0.532,47,55.3,8.9,10,0.484,20,27.8,0.296,68,68
303,Texas Southern NCAA,32,19,13,0.594,-3.3,-6.24,13,5,7,2,8,10,2209,2115,69.7,98.6,0.336,0.309,0.514,53.2,42.7,7.9,13.6,0.482,18.2,33,0.228,94.4,0.334,0.355,0.484,46.8,48.5,11.5,6.3,0.453,15.1,27.9,0.216,67,64
305,Texas Tech NCAA,37,27,10,0.73,20.08,8.65,12,6,18,0,3,7,2667,2244,67.3,106,0.351,0.341,0.556,54.6,52.2,11.8,12,0.526,17.2,33.2,0.245,89.2,0.319,0.454,0.493,45.4,53.6,9.9,7.3,0.458,20.4,25.9,0.22,12,16
313,UAB NCAA,35,27,8,0.771,10.9,-0.14,14,4,16,2,7,4,2811,2336,70.4,112.9,0.284,0.332,0.56,53.1,43.8,13.4,11.6,0.53,13.8,33.7,0.21,93.8,0.303,0.373,0.511,46.9,46.8,7.7,8.5,0.477,19.5,27.6,0.214,48,64
320,UCLA NCAA,35,27,8,0.771,19.3,8.36,15,5,14,1,8,4,2639,2256,66.5,111.4,0.294,0.312,0.539,52.5,50.3,10.3,9.6,0.505,11.3,31.4,0.218,95.3,0.283,0.381,0.51,47.5,50.2,6.6,7.5,0.476,17.2,25.3,0.205,13,16
333,Vermont NCAA,34,28,6,0.824,7.81,-5.7,17,1,16,0,10,4,2544,2065,65.1,114.4,0.265,0.43,0.594,54.7,55,7.8,7.2,0.57,13.2,24.3,0.197,92.9,0.228,0.376,0.5,45.3,43.8,7.4,8.8,0.475,15.4,18.6,0.158,53,64
334,Villanova NCAA,38,30,8,0.789,19.31,10.29,16,4,12,1,8,5,2726,2383,63.6,112.4,0.298,0.463,0.56,51.5,48.9,9.4,6.8,0.515,13.4,31.2,0.247,98.3,0.25,0.422,0.505,48.5,49.9,7.4,11.2,0.473,15.9,28.9,0.183,7,4
338,Virginia Tech NCAA,36,23,13,0.639,14.48,6.48,11,9,11,4,7,6,2549,2261,63.6,111,0.245,0.411,0.576,51.4,55.2,8.4,9.3,0.551,15,27.9,0.184,98.4,0.256,0.369,0.521,48.6,51,9.9,9.3,0.489,16.5,26.2,0.191,43,64
352,Wisconsin NCAA,33,25,8,0.758,13.13,9.16,15,5,12,4,9,2,2308,2177,67,104.4,0.324,0.36,0.518,50.1,44.8,7.9,7.8,0.477,11.4,26,0.241,98.5,0.272,0.336,0.516,49.9,46.9,7,8.8,0.489,15.2,24.4,0.186,9,32
354,Wright State NCAA,36,22,14,0.611,-1.94,-5.11,15,7,12,3,7,7,2729,2585,70,108.3,0.318,0.327,0.554,50.9,51.3,8.4,7.6,0.516,15.2,30.8,0.244,102.6,0.256,0.346,0.536,49.1,41.5,10.5,7.3,0.51,16.3,29.4,0.183,65,64
355,Wyoming NCAA,34,25,9,0.735,9.36,3.6,13,5,14,1,8,5,2466,2227,66.3,107.8,0.359,0.431,0.565,52,44.7,5.8,5.4,0.531,15,25.5,0.26,97.3,0.241,0.382,0.501,48,42.3,7.7,8.5,0.472,14.1,24.2,0.174,46,68
357,Yale NCAA,31,19,12,0.613,-0.1,-1.34,11,3,10,3,6,6,2226,2143,70.3,101.8,0.321,0.359,0.537,50.2,46.7,8.8,9.3,0.501,16.1,25.7,0.236,98,0.318,0.414,0.518,49.8,48.5,10.3,9.5,0.486,16.5,26.3,0.219,56,64
