Rk,School,G,W,L,W-L%,SRS,SOS,W.1,L.1,W.2,L.2,W.3,L.3,Tm.,Opp.,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA,Placing
50,Clemson NCAA,35,25,10,0.714,17.16,9.25,11,7,15,1,4,6,2584,2307,67.5,108.5,0.335,0.399,0.566,51.7,51.5,8.3,13.3,0.529,15.3,27.1,0.253,96.9,0.272,0.374,0.503,48.3,48.5,8.4,10.6,0.472,15.2,26,0.19,16
54,College of Charleston NCAA,34,26,8,0.765,1.83,-3.29,14,4,14,0,7,6,2536,2331,65.9,111.1,0.367,0.378,0.567,49.6,44.2,7.8,9.8,0.527,13.2,25.7,0.277,102.1,0.316,0.364,0.531,50.4,49.8,6.1,9.3,0.495,15.5,27.6,0.233,64
61,Creighton NCAA,33,21,12,0.636,16.35,8.1,10,8,16,2,4,7,2756,2444,72.8,113.8,0.259,0.45,0.599,51,58.3,7.7,6.7,0.575,13.9,22.5,0.194,100.9,0.245,0.375,0.523,49,50.7,8.3,8.8,0.496,14.2,24,0.176,64
63,Davidson NCAA,33,21,12,0.636,11.02,2.57,13,5,11,1,6,8,2519,2240,65.3,115.7,0.246,0.484,0.602,50.8,61.3,7.1,6.1,0.574,13.1,22.6,0.196,102.9,0.296,0.417,0.538,49.2,52,7.3,8.6,0.512,14.5,23.3,0.203,64
72,Duke NCAA,37,29,8,0.784,24.43,9.7,13,5,15,1,6,5,3121,2576,70.6,118.6,0.346,0.363,0.586,55.5,57.6,10.5,12.4,0.559,14.7,38.8,0.246,97.9,0.223,0.368,0.493,44.5,56.1,8,6.7,0.464,14.8,29.7,0.162,8
84,Florida NCAA,34,21,13,0.618,16.66,10.08,11,7,12,5,5,4,2577,2353,68.4,109.6,0.326,0.403,0.54,48.5,49.8,10.1,12.7,0.507,12.3,28.7,0.234,100.1,0.323,0.334,0.524,51.5,47.4,6.4,8.5,0.486,17.3,30.3,0.236,32
89,Florida State NCAA,35,23,12,0.657,15.78,8.5,9,9,13,2,4,7,2806,2551,72.2,109.5,0.37,0.368,0.562,51.8,52.6,9.4,14,0.532,15.4,32,0.256,99.6,0.324,0.377,0.519,48.2,48.7,8,7.7,0.484,16.7,29.3,0.231,8
99,Georgia State NCAA,35,24,11,0.686,3.22,-2.78,12,6,11,3,9,6,2614,2356,67.9,108.8,0.303,0.413,0.562,47.7,48.6,10.7,15.1,0.54,14.5,26,0.205,98.1,0.37,0.459,0.51,52.3,59.3,7.2,9.8,0.471,17.8,32.3,0.258,64
101,Gonzaga NCAA,37,32,5,0.865,18.44,2.6,17,1,15,1,10,1,3091,2505,69.7,118.2,0.321,0.394,0.593,56,50.1,8.9,9.6,0.57,13.9,32.9,0.227,95.8,0.291,0.357,0.505,44,46.2,7.3,7.4,0.471,15.5,22.9,0.208,16
112,Houston NCAA,35,27,8,0.771,15.99,4.16,14,4,15,0,6,5,2685,2271,68.5,112,0.326,0.372,0.563,54.6,53,9.1,9,0.533,14.9,33.6,0.234,94.8,0.416,0.379,0.502,45.4,51.9,7.3,7.1,0.455,16.8,25.3,0.293,32
123,Iona NCAA,34,20,14,0.588,0.75,-2.19,11,7,8,3,7,8,2702,2602,71.5,109.2,0.302,0.408,0.569,47.2,56.6,9.3,7.6,0.539,14.3,24.4,0.223,105.1,0.286,0.354,0.545,52.8,52.1,6.9,7.7,0.525,16.3,30.7,0.189,64
131,Kansas NCAA,39,31,8,0.795,21.39,11.88,13,5,14,3,8,3,3174,2803,70.2,115.5,0.27,0.412,0.594,50.3,55.7,9.2,10.9,0.575,14.6,29.3,0.191,102,0.246,0.391,0.519,49.7,48.5,7.9,9.9,0.491,15.6,31,0.175,4
133,Kansas State NCAA,37,25,12,0.676,12.85,8.74,10,8,14,3,6,5,2630,2478,66.6,106.4,0.338,0.368,0.56,47.4,54.4,11.9,9.3,0.525,15.3,25.8,0.248,100.3,0.368,0.399,0.533,52.6,54.5,8.4,7.1,0.491,18.6,31.7,0.269,8
136,Kentucky NCAA,37,26,11,0.703,17.24,10.73,10,8,16,2,4,6,2840,2599,69.8,109.6,0.44,0.258,0.555,53.6,49,8,13.7,0.518,15.8,35.5,0.307,100.3,0.323,0.426,0.502,46.4,52.2,8.2,8.5,0.468,14.4,30.6,0.224,16
