Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,oPace,oORtg,oFTr,o3PAr,oTS%,oTRB%,oAST%,oSTL%,oBLK%,oeFG%,oTOV%,oORB%,oFT/FGA
283,SIU Edwardsville,33,17,16,.515,-9.08,-7.54,,9,9,,12,2,,2,13,,2360,2314,,67.7,103.6,.358,.377,.541,49.5,52.8,8.4,9.7,.504,16.0,28.6,.256
284,Southern Indiana,32,8,24,.250,-13.63,-5.59,,5,13,,5,10,,3,13,,2195,2335,,69.7,104.3,.464,.369,.537,50.3,50.9,9.5,9.2,.485,15.0,28.0,.340
285,Southern Methodist,33,20,13,.606,10.22,2.56,,11,7,,14,3,,5,8,,2535,2271,,68.6,99.9,.337,.365,.510,46.6,56.5,10.5,12.4,.471,16.1,31.2,.241
286,Southern Mississippi,32,16,16,.500,-5.93,-2.93,,9,9,,11,3,,5,9,,2236,2273,,69.5,102.2,.325,.351,.521,49.9,47.4,11.7,7.2,.491,15.2,29.5,.222
287,Southern Utah,31,10,21,.323,-5.72,-1.17,,5,15,,6,8,,3,13,,2326,2406,,71.4,108.2,.312,.276,.553,52.5,46.5,9.6,8.8,.524,15.1,32.4,.222
288,St. Bonaventure,33,20,13,.606,6.77,1.95,,9,9,,11,4,,5,6,,2424,2265,,66.0,102.8,.339,.407,.542,49.4,58.0,7.5,8.2,.512,16.9,28.4,.236
289,St. John's (NY),33,20,13,.606,16.49,9.58,,11,9,,13,5,,5,6,,2602,2374,,69.6,103.4,.344,.359,.536,46.4,53.9,9.1,7.6,.496,16.1,30.4,.256
290,St. Thomas,33,20,13,.606,-0.92,-5.72,,9,7,,12,2,,6,9,,2402,2140,,63.9,101.0,.288,.392,.542,50.0,49.2,7.6,7.9,.512,16.7,25.0,.208
291,Stanford,32,14,18,.438,7.35,7.48,,8,12,,10,6,,3,8,,2443,2447,,70.9,106.2,.253,.376,.541,51.0,46.0,9.6,7.9,.519,13.7,27.3,.173
292,Stephen F. Austin,33,18,15,.545,-0.95,-1.76,,10,10,,10,5,,5,8,,2463,2353,,71.5,97.8,.455,.371,.540,47.8,54.4,10.8,9.5,.492,20.5,29.8,.328
293,Stetson NCAA,35,22,13,.629,-5.09,-3.24,,11,5,,14,2,,6,10,,2687,2566,,67.5,108.3,.243,.380,.531,50.0,50.6,8.8,7.5,.505,12.2,30.8,.173
294,Stonehill,31,4,27,.129,-20.10,-6.10,,2,14,,4,8,,0,19,,1967,2360,,69.2,109.6,.292,.462,.553,54.3,60.4,11.3,13.5,.523,14.7,31.2,.213
295,Stony Brook,35,20,15,.571,-2.59,-2.62,,10,8,,13,3,,4,11,,2573,2531,,67.5,104.9,.270,.419,.522,50.4,57.2,8.7,6.6,.496,13.2,28.9,.187
296,Syracuse,32,20,12,.625,8.53,9.40,,11,9,,14,2,,4,7,,2442,2420,,72.1,104.9,.260,.373,.548,53.1,50.7,8.7,7.4,.521,17.3,31.4,.189
297,Tarleton State,35,25,10,.714,1.40,-0.97,,16,4,,13,4,,10,5,,2593,2402,,68.4,100.0,.339,.363,.529,50.6,48.4,8.3,8.6,.497,18.1,32.0,.235
298,TCU NCAA,34,21,13,.618,14.62,7.32,,9,9,,12,4,,6,5,,2687,2439,,70.6,100.2,.354,.351,.540,46.6,56.7,9.6,9.1,.507,18.2,28.4,.249
299,Temple,36,16,20,.444,-1.26,1.68,,5,13,,5,9,,5,7,,2551,2624,,68.0,105.0,.357,.387,.538,51.8,54.4,8.5,10.4,.500,15.0,29.4,.259
300,Tennessee NCAA,36,27,9,.750,21.81,10.42,,14,4,,14,2,,8,3,,2836,2426,,70.3,95.9,.357,.411,.496,47.6,48.9,8.9,7.7,.453,16.1,28.2,.253
301,Tennessee State,33,18,15,.545,-9.64,-7.64,,10,8,,11,3,,5,10,,2400,2343,,69.8,101.3,.410,.337,.524,50.6,48.0,9.9,10.4,.477,16.5,31.3,.296
302,Tennessee Tech,31,10,21,.323,-15.04,-6.29,,5,13,,7,8,,3,13,,2089,2289,,67.6,108.4,.229,.370,.553,53.8,54.3,10.0,9.2,.524,13.5,27.3,.178
303,Tennessee-Martin,32,21,11,.656,-5.57,-7.25,,14,4,,12,2,,9,7,,2609,2455,,74.5,102.2,.230,.408,.510,48.1,50.2,9.0,10.3,.483,12.4,25.8,.165
304,Texas NCAA,34,21,13,.618,15.91,9.41,,9,9,,14,4,,4,6,,2563,2342,,68.2,100.6,.340,.328,.520,49.6,47.5,9.2,8.9,.481,16.3,30.1,.245
305,Texas A&M NCAA,36,21,15,.583,13.35,9.32,,9,9,,10,5,,6,6,,2736,2591,,67.8,105.5,.319,.449,.537,44.0,59.5,7.8,13.3,.505,14.5,28.0,.228
306,Texas A&M-Corpus Christi,33,21,12,.636,-4.45,-7.24,,14,4,,13,2,,8,7,,2480,2200,,71.2,93.3,.464,.369,.514,45.5,50.4,9.6,9.4,.462,18.7,23.9,.329
307,Texas Southern,33,16,17,.485,-9.09,-7.03,,12,6,,7,4,,6,11,,2316,2346,,69.5,101.8,.394,.363,.525,50.8,53.1,9.5,9.3,.483,15.8,31.0,.280
308,Texas State,35,17,18,.486,-3.71,-0.74,,7,11,,9,4,,5,11,,2445,2452,,68.4,101.7,.371,.352,.534,48.7,47.6,11.0,8.9,.493,16.5,29.3,.269
309,Texas Tech NCAA,34,23,11,.676,14.96,9.28,,11,7,,15,2,,4,6,,2561,2368,,67.2,103.3,.272,.386,.522,49.1,47.1,8.8,10.3,.492,14.6,30.3,.194
310,Texas-Rio Grande Valley,31,6,25,.194,-13.39,-0.90,,2,18,,5,9,,1,14,,2181,2473,,73.5,107.7,.339,.336,.561,54.1,60.6,10.0,11.1,.527,16.9,31.9,.249
311,The Citadel,32,11,21,.344,-6.53,-2.91,,3,15,,7,7,,2,13,,2260,2289,,67.0,106.4,.224,.399,.551,48.6,54.3,9.8,10.6,.528,14.6,26.1,.163
312,Toledo,32,20,12,.625,1.78,-2.09,,14,4,,12,3,,8,5,,2560,2436,,70.2,107.5,.262,.372,.567,49.9,47.4,8.4,10.0,.543,16.3,28.7,.190
313,Towson,34,20,14,.588,0.19,-2.27,,11,7,,12,2,,6,6,,2296,2164,,63.2,99.6,.315,.369,.513,44.0,47.4,9.8,8.9,.481,15.1,26.9,.219
314,Troy,32,20,12,.625,1.24,-3.17,,13,5,,15,2,,5,9,,2546,2261,,71.2,97.7,.390,.336,.526,47.1,44.4,11.2,11.1,.487,18.7,29.6,.272
315,Tulane,31,14,17,.452,3.65,2.68,,5,13,,11,6,,2,8,,2540,2481,,73.4,107.2,.317,.419,.539,54.3,57.5,9.1,10.0,.508,14.8,32.3,.226
316,Tulsa,31,16,15,.516,-1.20,-1.00,,7,11,,14,4,,2,9,,2325,2290,,71.4,102.3,.352,.385,.524,51.9,52.4,9.8,7.1,.490,15.5,30.3,.244
317,UAB NCAA,35,23,12,.657,5.14,3.73,,12,6,,12,5,,7,5,,2711,2627,,68.7,107.8,.309,.367,.540,47.8,49.1,10.1,10.2,.508,14.2,31.1,.223
318,UC Davis,33,20,13,.606,-1.33,-2.85,,14,6,,10,6,,8,6,,2351,2246,,68.1,99.2,.379,.333,.528,50.3,48.3,9.9,8.3,.484,18.4,30.4,.277
319,UC Irvine,34,24,10,.706,6.89,-0.93,,17,3,,13,0,,8,9,,2639,2321,,69.7,97.2,.344,.304,.503,46.5,48.8,8.1,8.6,.462,15.4,27.0,.245
320,UC Riverside,34,16,18,.471,-4.26,-1.23,,10,10,,10,5,,4,12,,2404,2448,,67.7,105.9,.343,.332,.554,49.0,52.2,6.7,10.0,.521,14.6,25.0,.247
321,UC San Diego,33,21,12,.636,2.04,-2.80,,15,5,,14,2,,7,8,,2530,2290,,66.9,102.5,.282,.363,.528,49.5,49.2,6.8,10.5,.498,15.0,27.4,.201
322,UC Santa Barbara,31,16,15,.516,-3.19,-3.01,,9,11,,9,7,,6,7,,2337,2280,,69.0,105.8,.296,.340,.534,47.9,45.0,9.9,7.0,.509,12.7,26.0,.201
323,UCF,33,17,16,.515,11.92,8.17,,7,11,,11,8,,3,7,,2366,2242,,69.3,97.6,.395,.396,.524,47.8,57.6,9.8,9.1,.479,18.0,26.9,.288
324,UCLA,33,16,17,.485,7.50,7.84,,10,10,,9,7,,5,6,,2177,2160,,64.8,101.1,.353,.428,.530,49.1,50.2,8.5,6.8,.495,16.0,27.8,.246
325,UNC Asheville,34,22,12,.647,-1.92,-2.99,,12,4,,12,2,,5,7,,2682,2485,,70.3,102.8,.327,.363,.524,50.5,47.3,8.7,8.7,.489,15.5,31.0,.232
326,UNC Greensboro,32,21,11,.656,-0.27,-2.90,,12,6,,11,3,,7,7,,2422,2233,,66.9,103.4,.348,.440,.525,48.9,47.8,8.6,8.0,.483,14.8,28.8,.257
327,UNC Wilmington,31,21,10,.677,1.21,-2.90,,12,6,,10,2,,10,6,,2461,2202,,66.6,105.0,.318,.366,.543,50.2,43.4,5.9,7.4,.514,15.9,30.4,.222
328,UT Arlington,34,20,14,.588,2.38,0.69,,13,7,,12,3,,5,10,,2614,2492,,71.9,101.5,.411,.352,.532,47.3,55.0,10.4,10.8,.483,16.6,29.1,.304
329,Utah,37,22,15,.595,15.00,9.41,,9,11,,17,2,,2,9,,2915,2708,,70.9,102.2,.259,.364,.514,48.3,51.3,8.9,8.6,.488,12.5,25.8,.178
330,Utah State NCAA,35,28,7,.800,11.56,5.29,,14,4,,14,1,,8,4,,2788,2497,,69.3,101.5,.306,.365,.527,48.0,50.3,9.1,6.2,.491,15.0,26.4,.224
331,Utah Tech,31,11,20,.355,-8.08,-1.18,,7,13,,6,7,,5,13,,2194,2389,,71.9,106.3,.423,.368,.547,51.3,52.4,12.1,9.9,.503,16.0,31.5,.307
332,Utah Valley,32,16,16,.500,-1.33,-0.03,,11,9,,10,4,,5,10,,2199,2195,,69.2,98.4,.350,.343,.513,49.3,57.9,10.1,9.0,.477,16.1,26.7,.243
333,UTEP,34,18,16,.529,-1.49,-1.30,,7,9,,13,5,,2,9,,2470,2348,,71.4,96.0,.448,.344,.548,51.0,46.9,10.4,9.4,.506,22.9,30.6,.316
334,UTSA,32,11,21,.344,-5.26,-0.71,,5,13,,7,9,,4,11,,2483,2591,,71.3,111.8,.344,.375,.548,48.6,52.5,8.4,12.9,.516,11.4,28.6,.244
335,Valparaiso,32,7,25,.219,-8.25,1.17,,3,17,,6,11,,1,13,,2163,2416,,69.3,109.0,.305,.353,.564,53.7,54.5,9.2,6.5,.540,15.6,30.2,.212
336,Vanderbilt,32,9,23,.281,0.19,8.16,,4,14,,8,10,,1,9,,2173,2428,,67.8,111.4,.295,.396,.566,51.9,55.1,8.3,9.8,.530,13.9,29.3,.231
337,Vermont NCAA,35,28,7,.800,2.78,-3.31,,15,1,,16,1,,10,4,,2506,2205,,65.4,96.0,.263,.358,.495,49.4,42.9,7.8,10.3,.462,13.6,23.4,.188
338,Villanova,34,18,16,.529,14.44,9.82,,10,10,,10,6,,4,8,,2388,2231,,64.3,99.8,.260,.453,.515,49.4,57.2,8.4,13.3,.483,14.3,24.3,.192
339,Virginia NCAA,34,23,11,.676,10.45,7.31,,13,7,,15,2,,5,6,,2140,2033,,61.2,96.6,.258,.396,.502,51.6,52.0,8.1,8.5,.466,16.8,28.1,.193
340,Virginia Commonwealth,38,24,14,.632,8.70,4.41,,11,7,,13,6,,7,5,,2697,2534,,66.2,100.1,.341,.389,.510,48.5,49.2,10.7,7.5,.468,14.6,26.9,.250
341,VMI,32,4,28,.125,-20.65,-2.44,,1,17,,4,10,,0,15,,2204,2644,,74.6,110.3,.300,.392,.553,51.7,50.7,12.2,8.0,.533,13.6,29.3,.197
342,Virginia Tech,34,19,15,.559,11.91,7.97,,10,10,,15,2,,2,10,,2547,2413,,68.1,104.2,.302,.339,.543,49.6,49.3,9.4,9.3,.510,15.0,26.2,.222
343,Wagner NCAA,33,17,16,.515,-10.64,-8.58,,7,9,,7,5,,9,10,,2103,2083,,63.0,99.0,.294,.407,.512,49.6,59.0,7.5,8.9,.483,15.3,26.9,.201
344,Wake Forest,35,21,14,.600,14.94,7.52,,11,9,,17,2,,2,9,,2733,2473,,68.8,101.9,.301,.355,.529,48.8,42.7,8.4,9.5,.491,14.5,25.8,.226
345,Washington,32,17,15,.531,11.85,8.38,,9,11,,11,6,,5,6,,2579,2468,,72.0,105.1,.331,.348,.532,50.1,51.4,8.8,8.9,.501,13.8,28.9,.230
346,Washington State NCAA,35,25,10,.714,14.02,7.19,,14,6,,15,2,,6,4,,2574,2335,,66.4,99.7,.323,.311,.511,45.7,45.6,8.4,6.6,.472,13.8,25.0,.236
347,Weber State,32,20,12,.625,-0.49,-4.15,,11,7,,12,2,,7,7,,2414,2161,,66.8,100.3,.278,.365,.548,50.1,51.2,7.6,8.1,.522,17.0,23.2,.197
348,West Virginia,32,9,23,.281,3.73,10.76,,4,14,,9,9,,0,9,,2234,2459,,68.7,111.0,.281,.430,.551,51.5,56.7,10.9,11.1,.521,13.0,30.4,.207
349,Western Carolina,32,22,10,.688,1.96,-3.35,,11,7,,12,3,,10,6,,2459,2198,,68.6,98.9,.308,.316,.496,46.6,36.2,7.6,7.0,.460,12.3,24.6,.217
350,Western Illinois,33,21,12,.636,-8.75,-7.37,,13,5,,10,5,,10,6,,2272,2167,,66.9,97.4,.235,.310,.483,44.5,43.2,11.0,8.1,.452,13.0,27.4,.170
351,Western Kentucky NCAA,34,22,12,.647,1.19,-2.91,,8,8,,12,2,,6,7,,2728,2531,,76.0,97.9,.320,.409,.512,47.8,49.9,9.6,10.1,.480,16.3,26.6,.221
352,Western Michigan,32,12,20,.375,-9.30,-3.79,,9,9,,7,7,,3,12,,2281,2396,,68.6,107.8,.309,.381,.541,48.2,51.3,9.9,6.2,.509,13.7,29.7,.223
353,Wichita State,34,15,19,.441,2.02,3.20,,5,13,,10,5,,2,10,,2475,2484,,69.5,104.4,.278,.381,.516,47.4,52.6,11.4,9.3,.483,12.6,28.3,.202
354,William & Mary,33,10,23,.303,-11.33,-5.55,,4,14,,7,7,,2,13,,2305,2380,,66.7,107.8,.338,.368,.543,50.7,46.1,8.6,12.9,.505,12.8,28.1,.249
355,Winthrop,32,17,15,.531,-1.97,-3.42,,8,8,,11,5,,6,9,,2475,2287,,68.3,102.3,.332,.426,.530,49.0,48.9,9.8,11.7,.488,16.5,31.0,.250
356,Wisconsin NCAA,36,22,14,.611,16.01,11.35,,11,9,,14,3,,3,9,,2688,2520,,66.0,105.0,.338,.343,.554,47.6,47.3,7.5,10.8,.520,15.1,24.4,.245
357,Wofford,32,17,15,.531,-3.87,-1.60,,10,8,,11,2,,6,9,,2384,2362,,67.5,107.7,.328,.427,.545,47.0,50.1,9.5,8.4,.508,12.3,24.6,.244
358,Wright State,32,18,14,.563,-0.22,-3.62,,13,7,,9,7,,7,6,,2767,2599,,72.6,110.6,.292,.378,.568,48.4,45.0,10.0,6.2,.542,14.6,27.9,.208
359,Wyoming,32,15,17,.469,0.54,4.57,,8,10,,9,5,,3,10,,2331,2383,,67.9,108.8,.271,.401,.551,49.2,48.5,11.9,11.1,.522,14.3,28.8,.201
360,Xavier,34,16,18,.471,12.23,11.03,,9,11,,11,7,,3,9,,2579,2538,,71.5,104.4,.297,.354,.527,48.5,59.6,8.8,11.4,.495,13.9,28.9,.211
361,Yale NCAA,33,23,10,.697,4.63,0.41,,11,3,,9,2,,9,6,,2465,2226,,66.1,100.5,.279,.419,.525,47.2,57.2,8.2,8.7,.491,14.7,23.7,.206
362,Youngstown State,32,22,10,.688,0.97,-5.11,,14,6,,14,3,,8,7,,2598,2269,,70.8,99.4,.282,.367,.509,46.2,54.8,8.4,7.7,.479,14.7,27.9,.197
